# index	signed-64-bit-value
0	-4181792142133755926
1	-4576982950128230565
2	1395769623340756751
3	5333664234075297259
4	-6347679516498800754
5	9033628115061424579
6	7143218595135194537
7	4812947590706362721
8	7937252194349799378
9	5307299880338848416
10	8209348851763925077
11	-7107630437535961764
12	4593015457530856296
13	8140875735541888011
14	-5903942795589686782
15	-603556388664454774
16	-7496297993371156308
17	113108499721038619
18	4569519971459345583
19	-4160538177779461077
20	-6835753265595711384
21	-6507240692498089696
22	6559392774825876886
23	7650093201692370310
24	7684323884043752161
25	-8965504200858744418
26	-2629915517445760644
27	271327514973697897
28	-6433985589514657524
29	1065192797246149621
30	3344507881999356393
31	-4763574095074709175
32	7465081662728599889
33	1014950805555097187
34	-4773931307508785033
35	-5742262670416273165
36	2418672789110888383
37	5796562887576294778
38	4484266064449540171
39	3738982361971787048
40	-4699774852342421385
41	10530508058128498
42	-589538253572429690
43	-6598062107225984180
44	8660405965245884302
45	10162832508971942
46	-2682657355892958417
47	7031802312784620857
48	6240911277345944669
49	831864355460801054
50	-1218937899312622917
51	2116287251661052151
52	2202309800992166967
53	9161020366945053561
54	4069299552407763864
55	4936383537992622449
56	457351505131524928
57	-8881176990926596454
58	-6375600354038175299
59	-7155351920868399290
60	4368649989588021065
61	887231587095185257
62	-3659780529968199312
63	-2407146836602825512
64	5616972787034086048
65	-751562733459939242
66	1686575021641186857
67	-5177887698780513806
68	-4979215821652996885
69	-1375154703071198421
70	5632136521049761902
71	-8390088894796940536
72	-193645528485698615
73	-5979788902190688516
74	-4907000935050298721
75	-285522056888777828
76	-2776431630044341707
77	1679342092332374735
78	6050638460742422078
79	-2229851317345194226
80	-1582494184340482199
81	5881353426285907985
82	812786550756860885
83	4541845584483343330
84	-6497901820577766722
85	4980675660146853729
86	-4012602956251539747
87	-329088717864244987
88	-2896929232104691526
89	1495812843684243920
90	-2153620458055647789
91	7370257291860230865
92	-2466442761497833547
93	4706794511633873654
94	-1398851569026877145
95	8549875090542453214
96	-9189721207376179652
97	-7894453601103453165
98	7297902601803624459
99	1011190183918857495
100	-6985347000036920864
101	5147159997473910359
102	-8326859945294252826
103	2659470849286379941
104	6097729358393448602
105	-7491646050550022124
106	-5117116194870963097
107	-896216826133240300
108	-745860416168701406
109	5803876044675762232
110	-787954255994554146
111	-3234519180203704564
112	-4507534739750823898
113	-1657200065590290694
114	505808562678895611
115	-4153273856159712438
116	-8381261370078904295
117	572156825025677802
118	1791881013492340891
119	3393267094866038768
120	-5444650186382539299
121	2352769483186201278
122	-7930912453007408350
123	-325464993179687389
124	-3441562999710612272
125	-6489413242825283295
126	5092019688680754699
127	-227247482082248967
128	4234737173186232084
129	5027558287275472836
130	4635198586344772304
131	-536033143587636457
132	5907508150730407386
133	-8438615781380831356
134	972392927514829904
135	-3801314342046600696
136	-4064951393885491917
137	-174840358296132583
138	2407211146698877100
139	-1640089820333676239
140	3940796514530962282
141	-5882197405809569433
142	3095313889586102949
143	-1818050141166537098
144	5832080132947175283
145	7890064875145919662
146	8184139210799583195
147	-8073512175445549678
148	-7758774793014564506
149	-4581724029666783935
150	3516491885471466898
151	-8267083515063118116
152	6657089965014657519
153	5220884358887979358
154	1796677326474620641
155	5340761970648932916
156	1147977171614181568
157	5066037465548252321
158	2574765911837859848
159	1085848279845204775
160	-5873264506986385449
161	6116438694366558490
162	2107701075971293812
163	-7420077970933506541
164	2469478054175558874
165	-1855128755834809824
166	-5431463669011098282
167	-9038325065738319171
168	-6966276280341336160
169	7217693971077460129
170	-8314322083775271549
171	7196649268545224266
172	-3585711691453906209
173	-5267827091426810625
174	8057528650917418961
175	-5084103596553648165
176	-2601445448341207749
177	-7850010900052094367
178	6527366231383600011
179	3507654575162700890
180	9202058512774729859
181	1954818376891585542
182	-2582991129724600103
183	8299563319178235687
184	-5321504681635821435
185	7046310742295574065
186	-2376176645520785576
187	-7650733936335907755
188	8850422670118399721
189	3631909142291992901
190	5158881091950831288
191	-6340413719511654215
192	4763258931815816403
193	6280052734341785344
194	-4979582628649810958
195	2043464728020827976
196	-2678071570832690343
197	4562580375758598164
198	5495451168795427352
199	-7485059175264624713
200	553004618757816492
201	6895160632757959823
202	-989748114590090637
203	7139506338801360852
204	-672480814466784139
205	5535668688139305547
206	2430933853350256242
207	-3821430778991574732
208	-1063731997747047009
209	-3065878205254005442
210	7632066283658143750
211	6308328381617103346
212	3681878764086140361
213	3289686137190109749
214	6587997200611086848
215	244714774258135476
216	-5143583659437639708
217	8090302575944624335
218	2945117363431356361
219	-8359047641006034763
220	3009039260312620700
221	-793344576772241777
222	401084700045993341
223	-1968749590416080887
224	4707864159563588614
225	-3583123505891281857
226	-3240864324164777915
227	-5908273794572565703
228	-3719524458082857382
229	-5281400669679581926
230	8118566580304798074
231	3839261274019871296
232	7062410411742090847
233	-8481991033874568140
234	6027994129690250817
235	-6725542042704711878
236	-2971981702428546974
237	-7854441788951256975
238	8809096399316380241
239	6492004350391900708
240	2462145737463489636
241	-8818543617934476634
242	-5070345602623085213
243	-8961586321599299868
244	-3758656652254704451
245	-8630661632476012791
246	6764129236657751224
247	-709716318315418359
248	-3403028373052861600
249	-8838073512170985897
250	-3999237033416576341
251	-2920240395515973663
252	-2073249475545404416
253	368107899140673753
254	-6108185202296464250
255	-6307735683270494757
256	4782583894627718279
257	6718292300699989587
258	8387085186914375220
259	3387513132024756289
260	4654329375432538231
261	-292704475491394206
262	-3848998599978456535
263	7623042350483453954
264	7725442901813263321
265	9186225467561587250
266	-5132344747257272453
267	-6865740430362196008
268	2530936820058611833
269	1636551876240043639
270	-3658707362519810009
271	1452244145334316253
272	-7161729655835084979
273	-7943791770359481772
274	9108481583171221009
275	-3200093350120725999
276	5007630032676973346
277	2153168792952589781
278	6720334534964750538
279	-3181825545719981703
280	3433922409283786309
281	2285479922797300912
282	3110614940896576130
283	-2856812446131932915
284	-3804580617188639299
285	7163298419643543757
286	4891138053923696990
287	580618510277907015
288	1684034065251686769
